0:0:0:0:0:0:0:1 - - [05/Aug/2025:11:17:33 +0900] "GET HTTP/1.1 " 400 878
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/ComComp/WebBrowser.js HTTP/1.1" 200 15291
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/ComComp/Map.js HTTP/1.1" 200 102800
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/ComComp/Sketch.js HTTP/1.1" 200 63214
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/Grid/GridInfo.js HTTP/1.1" 200 246220
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/ComComp/ExportObject.js HTTP/1.1" 200 105353
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/ComComp/ImportObject.js HTTP/1.1" 200 23721
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/ComComp/Tray.js HTTP/1.1" 200 13535
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/Grid/Grid.js HTTP/1.1" 200 1005441
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/DeviceAPI/SQLite.js HTTP/1.1" 200 21507
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/DeviceAPI/SQLite_Runtime.js HTTP/1.1" 200 3943
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/DeviceAPI/DeviceObjs.js HTTP/1.1" 200 37345
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/DeviceAPI/DeviceObjs_Runtime.js HTTP/1.1" 200 6178
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/DeviceAPI/Plugin.js HTTP/1.1" 200 11790
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/DeviceAPI/XPush.js HTTP/1.1" 200 209493
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/DeviceAPI/TCPClientSocket.js HTTP/1.1" 200 7645
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/DeviceAPI/Mobile.js HTTP/1.1" 200 241535
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/Sample-UpDownload.xadl.js HTTP/1.1" 200 4859
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/_theme_/default/theme.css.js HTTP/1.1" 200 294230
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/_theme_/default/images/btn_Titlebar_min.png HTTP/1.1" 200 2985
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/_theme_/default/images/btn_Titlebar_close.png HTTP/1.1" 200 3071
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/_theme_/default/images/btn_Titlebar_max.png HTTP/1.1" 200 2895
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/Base/N1_FileUpDownload_Single.xfdl.js HTTP/1.1" 200 7149
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/_theme_/default/images/img_progress.png HTTP/1.1" 200 1057
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/resources/images/waitimage.gif HTTP/1.1" 200 13848
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/_theme_/default/images/btn_drop_N.png HTTP/1.1" 200 1024
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/_theme_/default/images/V13_logo.png HTTP/1.1" 200 3589
172.10.12.45 - - [05/Aug/2025:15:29:40 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/_theme_/default/images/img_grip.png HTTP/1.1" 200 2881
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/index.html HTTP/1.1" 200 8531
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/SystemBase.js HTTP/1.1" 200 833192
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/SystemInfo.js HTTP/1.1" 200 14368
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/SystemBase_HTML5.js HTTP/1.1" 200 387936
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/ErrorDefine.js HTTP/1.1" 200 29203
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/BasicObjs.js HTTP/1.1" 200 73672
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/Platform_HTML5.js HTTP/1.1" 200 165994
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/SystemBase_Runtime.js HTTP/1.1" 200 133579
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/Platform_Runtime.js HTTP/1.1" 200 49768
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/Platform.js HTTP/1.1" 200 347170
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/CssObjs.js HTTP/1.1" 200 248002
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/Device.js HTTP/1.1" 200 22124
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/Device_Android.js HTTP/1.1" 200 1138
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/framework/Device_iOS.js HTTP/1.1" 200 7085
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/Element_HTML5.js HTTP/1.1" 200 624325
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/Element_Runtime.js HTTP/1.1" 200 316075
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/CompEventBase.js HTTP/1.1" 200 229994
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/Data.js HTTP/1.1" 200 414412
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/CompBase.js HTTP/1.1" 200 154896
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/EditBase.js HTTP/1.1" 200 290505
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/FormBase.js HTTP/1.1" 200 157415
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/TitleBar.js HTTP/1.1" 200 23338
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/StatusBar.js HTTP/1.1" 200 22045
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/FrameBase.js HTTP/1.1" 200 178152
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/ScrollBar.js HTTP/1.1" 200 44189
172.10.12.45 - - [05/Aug/2025:15:32:55 +0900] "GET /nexacro14/14.0.1.4202/Sample-UpDownload/nexacro14lib/component/CompBase/Step.js HTTP/1.1" 200 33252
